Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Joe Ingles,54,17,27.2,4.2,8,0.525,2.9,5.8,0.494,1.4,2.2,0.608,1.1,1.3,0.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.4,NBA,  UTH,F,32,13000000,0.00176,79
Marcus Smart,38,35,32.6,4.3,10.4,0.411,2.1,5.8,0.355,2.2,4.7,0.48,2.8,3.6,0.788,0.7,2.7,3.3,5.6,1.5,0.5,1.8,2.5,13.5,NBA,  BOS,G,26,12999975,0.00176,80
Jordan Clarkson,55,1,26,6.4,15.1,0.424,3,8.7,0.35,3.4,6.4,0.524,1.7,1.8,0.949,0.7,3.2,4,2.1,0.9,0.1,1.7,1.5,17.5,NBA,  UTH,G,28,12880000,0.00174,81
Marvin Bagley III,37,37,25.7,5.6,11.2,0.502,0.9,2.6,0.354,4.7,8.6,0.547,1.6,2.9,0.56,2.5,5,7.4,0.9,0.5,0.5,1.3,2.4,13.9,NBA,  SAC,F,21,12724946,0.00172,82
Taurean Prince,41,10,22.1,3.2,8,0.401,1.5,3.8,0.4,1.7,4.2,0.401,1.6,1.9,0.855,0.5,3,3.5,1.9,0.7,0.6,1.1,1.8,9.5,NBA,  CLE,F,26,12625000,0.00171,83
Trevor Ariza,18,15,26.6,2.8,7.2,0.385,1.5,4.1,0.365,1.3,3.1,0.411,1.2,1.6,0.75,0.7,3.5,4.2,1.7,0.7,0.6,0.7,1.6,8.2,NBA,  MIA,F,35,12500000,0.00169,84
Kelly Olynyk,58,50,27.8,4.5,9.3,0.481,1.8,5.4,0.339,2.7,3.9,0.675,1.2,1.4,0.807,1.1,5.4,6.5,2.2,0.9,0.6,1.5,2.8,11.9,NBA,  HOU,F,29,12500000,0.00169,85
Cory Joseph,58,8,22.6,3,6.4,0.463,0.7,2.1,0.336,2.3,4.4,0.522,1.2,1.4,0.807,0.6,1.9,2.5,3.2,1,0.3,1.2,2.2,7.8,NBA,  DET,G,29,12400000,0.00168,86
DeWanna Bonner,22,22,732,6.7,16,0.422,1.2,4.9,0.252,5.5,11.1,0.496,5,5.6,0.895,1.5,6.3,7.8,3,1.7,0.5,2.4,2.1,19.7,WNBA,  CON,F,33,224870,0.00375,87
Skylar Diggins-Smith,22,22,675,5.8,12.2,0.474,2.1,5.3,0.397,3.7,6.9,0.533,4.1,4.5,0.9,0.5,2.8,3.3,4.2,0.9,0.5,3.2,2.3,17.7,WNBA,  PHX,G,30,224870,0.00375,88
Diana Taurasi,19,19,533,5.1,12.4,0.409,3.2,8.8,0.365,1.8,3.6,0.515,5.4,5.9,0.912,0.1,4.1,4.2,4.5,1,0.4,2.3,2.7,18.7,WNBA,  PHX,G,38,224772,0.00375,89
Natasha Howard,22,22,463,4,7.5,0.53,0.3,0.9,0.35,3.6,6.5,0.556,1.3,1.6,0.778,2.4,4.7,7.1,1,1.7,0.6,2.1,3,9.5,WNBA,  NY,F,29,224675,0.00374,90
Brittney Griner,12,12,382,7.3,14.6,0.497,0,0.1,0,7.3,14.5,0.5,3.2,3.9,0.809,1.5,6,7.5,3,0.3,1.8,2.5,2.5,17.7,WNBA,  PHX,C,30,221515,0.00369,91
Sue Bird,11,11,257,3.7,7.5,0.494,2.1,4.5,0.469,1.6,3.1,0.529,0.3,0.4,0.75,0.1,1.6,1.7,5.2,0.6,0.2,1.6,0.8,9.8,WNBA,  SEA,G,40,221450,0.00369,92
Alyssa Thomas,21,21,689,5.8,11.6,0.5,0,0,0,5.8,11.6,0.502,3.9,5.6,0.686,1.9,7.1,9,4.8,2,0.3,2.5,2.8,15.5,WNBA,  CON,F,29,209000,0.00348,93
Courtney Vandersloot,22,22,693,4.9,9.9,0.491,1.4,3.5,0.395,3.5,6.5,0.542,2.5,2.9,0.889,0.5,3,3.5,10,1.2,0.4,2.5,2.1,13.6,WNBA,  CHI,G,32,203000,0.00338,94
Allie Quigley,22,22,631,5.9,13.1,0.448,2.1,6,0.346,3.8,7,0.535,1.5,1.7,0.919,0.3,2.6,2.9,2.4,0.6,0.3,1.3,1.4,15.4,WNBA,  CHI,G,34,197000,0.00328,95
Kayla McBride,22,22,587,4.1,9.6,0.425,1.1,3.3,0.342,3,6.3,0.468,3.2,3.5,0.897,0.4,1.9,2.3,2.4,1.2,0.1,1.4,1.4,12.5,WNBA,  MIN,G,28,196267,0.00327,96
Aerial Powers,6,6,179,5.3,11.5,0.464,1.5,4.3,0.346,3.8,7.2,0.535,4.2,5,0.833,0.3,4.5,4.8,2.5,1.5,0,1.8,2.7,16.3,WNBA,  MIN,F,27,196267,0.00327,97
Betnijah Laney,22,22,738,6.5,13.5,0.481,1.4,3.4,0.405,5.1,10.1,0.507,2.8,3.4,0.827,1.1,3.8,4.9,4,1.6,0.1,3,2.5,17.2,WNBA,  NY,G,27,196267,0.00327,98
Nneka Ogwumike,18,18,476,5.3,9.3,0.569,0.5,1,0.5,4.8,8.3,0.577,2.3,2.7,0.837,1.2,3.6,4.8,1.7,1.1,0.2,1.6,2.3,13.3,WNBA,  LA,F,30,193409,0.00322,99
Chelsea Gray,22,22,679,5.5,12.5,0.442,0.8,2.7,0.305,4.7,9.9,0.479,2.1,2.2,0.939,0.7,3,3.7,5.3,1.5,0.1,2.7,1.7,14,WNBA,  LV,G,28,193409,0.00322,100
Candace Parker,22,22,665,5.6,11,0.51,0.9,2.2,0.396,4.8,8.9,0.538,2.6,3.5,0.731,1.7,8,9.7,4.6,1.2,1.2,2.9,2.3,14.7,WNBA,  CHI,F,35,192500,0.00321,101
Cheyenne Parker,20,13,497,4.9,8.8,0.554,0.8,1.6,0.469,4.1,7.2,0.573,2.9,3.4,0.853,2.4,4,6.4,1.5,1.3,0.9,2.8,3.2,13.4,WNBA,  ATL,F,28,190550,0.00318,102
Bria Hartley,13,3,322,5.1,12.1,0.42,1.9,5,0.385,3.2,7.1,0.446,2.5,3.2,0.805,0.4,2.5,2.9,4.5,1.2,0,2.1,2.5,14.6,WNBA,  PHX,G,28,190517,0.00318,103
Jasmine Thomas,19,19,485,4,9.9,0.404,1.1,3.3,0.333,2.9,6.6,0.44,1.1,1.2,0.913,0.2,1.5,1.7,4,1.3,0.3,2.4,1.6,10.2,WNBA,  CON,G,31,188333,0.00314,104
Courtney Williams,20,14,615,6.7,15.4,0.436,0.4,1.7,0.235,6.3,13.7,0.462,0.8,1.2,0.696,1.9,5.3,7.2,3.2,0.7,0.1,2.7,2,14.6,WNBA,  ATL,G,26,187750,0.00313,105
Breanna Stewart,20,20,607,6.7,14.8,0.451,1.8,4.8,0.368,4.9,10,0.49,4.7,5.2,0.894,1,7.3,8.3,3.6,1.7,1.3,2.6,2.3,19.7,WNBA,  SEA,F,26,187750,0.00313,106
Angel McCoughtry,22,22,440,5.3,10.3,0.518,0.7,1.5,0.471,4.6,8.7,0.526,3,3.5,0.882,1.7,3.4,5.1,2.5,1.3,0.3,1.7,2.2,14.4,WNBA,  LV,F,34,187750,0.00313,107
Alysha Clark,22,22,633,3.7,6.7,0.558,1.6,3,0.522,2.1,3.6,0.588,0.9,1.1,0.8,0.9,3.3,4.2,2.7,1.5,0.5,0.9,1.7,10,WNBA,  WAS,F,33,183000,0.00305,108
Stefanie Dolson,15,8,273,2.3,4.7,0.486,0.8,2.1,0.375,1.5,2.5,0.579,0.9,1.3,0.737,0.7,2.8,3.5,1.7,0.4,0.9,1,3.2,6.3,WNBA,  CHI,C,29,177625,0.00296,109
Moriah Jefferson,9,6,148,2,4.9,0.409,0.2,0.7,0.333,1.8,4.2,0.421,0.8,1.3,0.583,0.9,2.2,3.1,2,0.8,0.2,1.7,1.9,5,WNBA,  DAL,G,27,175067,0.00292,110
Shekinna Stricklen,22,15,482,2.1,6.3,0.341,1.5,4.5,0.333,0.6,1.8,0.359,0.4,0.4,1,0.2,1.7,1.9,0.6,0.3,0,0.7,2,6.1,WNBA,  ATL,F,30,172550,0.00288,111
Ariel Atkins,22,22,682,5,11.4,0.438,2,4.9,0.411,3,6.5,0.458,2.8,3.2,0.886,0.8,2.1,2.9,2.4,1.8,0.2,1.9,2.6,14.8,WNBA,  WAS,G,24,172500,0.00288,112
Candice Dupree,22,22,665,5.3,11.4,0.462,0.1,0.8,0.167,5.1,10.6,0.485,1.9,2.2,0.854,1.2,4.5,5.7,2.5,0.7,0.4,1.3,1.2,12.5,WNBA,  SEA,F,36,170000,0.00283,113
Kahleah Copper,22,22,688,6,12.1,0.496,1,2.8,0.344,5,9.3,0.541,1.9,2.6,0.737,1,4.5,5.5,2.1,1,0.2,2.5,2.4,14.9,WNBA,  CHI,G,26,165000,0.00275,114
Allisha Gray,20,14,524,4.6,9.8,0.464,1.3,3.6,0.352,3.3,6.3,0.528,2.7,3.3,0.831,1.4,2.8,4.2,1.3,1.1,0.3,1.1,1.9,13.1,WNBA,  DAL,G,26,164800,0.00275,115
Natalie Achonwa,18,11,364,3.2,6.4,0.496,0,0.6,0,3.2,5.8,0.543,1.4,1.8,0.813,1.4,4.1,5.5,1.7,0.5,0.6,1.8,2.6,7.8,WNBA,  MIN,C,28,159867,0.00266,116
Danielle Robinson,22,1,492,2.8,5.5,0.512,0.2,0.6,0.385,2.6,4.9,0.528,1.5,1.9,0.81,0.2,2.2,2.4,3.2,0.9,0.1,1.3,1.7,7.4,WNBA,  IND,G,31,155000,0.00258,117
Isabelle Harrison,13,11,258,2.6,5.8,0.447,0,0.2,0,2.6,5.6,0.466,1.2,1.5,0.789,1.5,3.1,4.6,1.5,0.7,0.4,1.4,2.5,6.4,WNBA,  DAL,F,27,154455,0.00257,118
Sami Whitcomb,22,0,363,2.8,6.4,0.443,1.5,3.8,0.381,1.4,2.5,0.536,1,1,1,0.2,2.1,2.3,2,0.7,0.1,1,1.4,8.1,WNBA,  NY,G,32,150350,0.00251,119
Tiffany Mitchell,19,11,502,3.9,11.3,0.346,0.9,3.8,0.233,3,7.4,0.404,4.1,4.3,0.951,0.8,2.6,3.4,2.6,0.6,0.1,2.4,2.6,12.7,WNBA,  IND,G,26,144242,0.0024,120
Tianna Hawkins,17,5,329,3.1,7.6,0.408,1,3.4,0.298,2.1,4.3,0.493,1.3,1.5,0.846,0.7,2.8,3.5,1,0.8,0.4,1.2,2.6,8.5,WNBA,  ATL,F,30,142100,0.00237,121
Leilani Mitchell,22,22,673,3.3,8.1,0.408,1.3,4.3,0.305,2,3.8,0.524,1.5,1.8,0.872,0.5,2.3,2.8,5.4,0.8,0,1.7,2.1,9.5,WNBA,  WAS,G,35,125250,0.00209,122
Brionna Jones,21,21,549,4.7,7.7,0.605,0,0,1,4.6,7.7,0.602,1.8,2.6,0.691,2.8,2.8,5.6,1,1.7,0.7,1.6,3.1,11.2,WNBA,  CON,C,25,120000,0.002,123
Layshia Clarendon,19,19,496,3.9,8.4,0.465,0.8,2.3,0.341,3.1,6.1,0.513,2.9,3.3,0.873,0.3,2.2,2.5,3.9,0.9,0,3.4,2.9,11.5,WNBA,  NY,G,29,120000,0.002,124
Briann January,13,10,303,1.7,5.8,0.293,0.8,2.4,0.355,0.8,3.4,0.25,0.8,0.9,0.833,0.3,0.9,1.2,3.4,0.6,0.2,1.2,1.9,5,WNBA,  CON,G,34,119500,0.00199,125
Jewell Loyd,22,22,613,5.1,11.5,0.443,1.8,4.5,0.39,3.3,7,0.477,3.5,4,0.875,0.6,1.8,2.4,3.2,1.5,0.3,1.9,1.5,15.5,WNBA,  SEA,G,27,119500,0.00199,126
Dearica Hamby,22,0,622,5,9.3,0.539,0.8,1.7,0.474,4.2,7.5,0.554,2.2,3,0.716,1.3,5.8,7.1,2.7,1.7,0.2,2,2.3,13,WNBA,  LV,F,27,117000,0.00195,127
Elizabeth Williams,22,22,647,4,8.1,0.489,0,0,,4,8.1,0.489,2.2,3,0.742,2.2,3.5,5.7,1.4,0.8,1.4,1.1,2.6,10.1,WNBA,  ATL,C,27,116000,0.00193,128
Sylvia Fowles,7,7,168,5.6,9.1,0.609,0,0,,5.6,9.1,0.609,3.4,4.1,0.828,3,6.7,9.7,0.9,0.9,1.1,1.1,2.6,14.6,WNBA,  MIN,C,35,115627,0.00193,129
Epiphanny Prince,15,0,190,1.5,3.8,0.386,0.6,1.8,0.333,0.9,2,0.433,0.7,0.9,0.846,0.1,1.1,1.2,1.4,0.4,0.1,0.8,1.5,4.3,WNBA,  SEA,G,33,115000,0.00192,130
Brittney Sykes,21,14,517,3.5,7.1,0.487,0.8,2.3,0.327,2.7,4.8,0.564,2.4,3,0.806,0.8,1.8,2.6,2.1,1.5,0.3,1.7,3,10.1,WNBA,  LA,G,27,111650,0.00186,131
Kia Vaughn,22,10,415,2.8,5.8,0.488,0,0.1,0,2.8,5.7,0.496,0.5,0.9,0.579,1.1,2.5,3.6,1.5,0.5,0.3,1.5,1.8,6.1,WNBA,  PHX,C,34,110000,0.00183,132
Damiris Dantas,22,22,586,4.6,10,0.464,1.8,4.1,0.433,2.9,5.9,0.485,1.8,2.5,0.727,1.7,4.4,6.1,2.6,1.1,0.2,1.8,2.5,12.9,WNBA,  MIN,F,28,105000,0.00175,133
Kayla Thornton,22,14,557,2.5,5.7,0.429,1.1,3.3,0.347,1.3,2.5,0.537,1.3,1.5,0.875,1.5,3.6,5.1,0.8,0.9,0.2,1.1,3,7.3,WNBA,  DAL,F,28,101985,0.0017,134
Rachel Banham,20,1,339,2.4,5.2,0.462,1.3,2.7,0.472,1.2,2.6,0.451,0.8,1,0.8,0.1,1.2,1.3,2.4,0.5,0.1,1,2,6.9,WNBA,  MIN,G,27,101500,0.00169,135
Riquna Williams,21,4,444,3.9,8.9,0.435,2,4.9,0.422,1.8,4,0.452,0.8,0.9,0.889,0.1,1.7,1.8,1.5,1.1,0.3,0.9,2,10.5,WNBA,  LV,G,30,91250,0.00152,136
Tierra Ruffin-Pratt,17,10,251,0.7,2.6,0.267,0.4,0.8,0.462,0.4,1.9,0.188,1.1,1.5,0.731,0.5,1.6,2.1,0.9,0.6,0.2,0.5,1.6,2.9,WNBA,  LA,G,30,90000,0.0015,137
Shatori Walker-Kimbrough,21,10,400,2.6,6,0.429,1,2.4,0.431,1.5,3.6,0.427,1.1,1.2,0.92,0.3,1.3,1.6,1.5,1.1,0.4,1,1.1,7.3,WNBA,  ATL,G,25,85000,0.00142,138
Sydney Wiese,19,15,363,2.5,4.9,0.505,1.3,2.8,0.472,1.2,2.1,0.55,0.6,0.6,0.917,0.3,1.4,1.7,1.2,0.6,0.1,1.2,0.9,6.8,WNBA,  LA,G,25,76800,0.00128,139
Odyssey Sims,13,7,240,3.2,8,0.404,0.6,1.8,0.333,2.6,6.2,0.425,2.3,2.5,0.909,0.6,1.4,2,3.5,0.5,0.1,1.9,1.7,9.4,WNBA,  ATL,G,28,75000,0.00125,140
Erica McCall,20,0,183,0.8,2.3,0.356,0.1,0.2,0.25,0.8,2.1,0.366,0.9,1.1,0.818,1.2,1.3,2.5,0.2,0.4,0.4,0.5,1.2,2.6,WNBA,  WAS,F,25,73000,0.00122,141
Kiah Stokes,22,22,601,2.3,6.2,0.372,0.9,3.9,0.235,1.4,2.4,0.596,0.2,0.3,0.571,1.3,5.4,6.7,1.2,0.5,1.2,1.3,2,5.7,WNBA,  NY,C,28,71633,0.00119,142
Sabrina Ionescu,3,3,80,6.3,14,0.452,2.3,6.7,0.35,4,7.3,0.545,3.3,3.3,1,0.7,4,4.7,4,0.7,0,4.3,1.3,18.3,WNBA,  NY,G,23,71199,0.00119,143
Satou Sabally,16,14,450,4.2,11.4,0.368,0.8,4.1,0.197,3.4,7.3,0.466,4.7,5.4,0.872,2.6,5.2,7.8,2.5,0.9,0.9,2.2,3.1,13.9,WNBA,  DAL,F,22,71199,0.00119,144
Lauren Cox,14,1,183,1.3,3.1,0.419,0.2,0.4,0.5,1.1,2.6,0.405,0.8,1.1,0.733,0.7,2.6,3.3,1.4,0.4,0.3,0.8,1.4,3.6,WNBA,  IND,F,23,71199,0.00119,145
Chennedy Carter,16,16,406,6.6,14,0.473,0.8,2,0.375,5.9,12,0.49,3.4,4.2,0.821,0.5,1.8,2.3,3.4,0.9,0.3,2.7,3.6,17.4,WNBA,  ATL,G,22,71199,0.00119,146
Astou Ndour,13,7,151,1.5,4.4,0.351,0.5,1.9,0.24,1.1,2.5,0.438,0,0,,1,1.9,2.9,0.5,0.2,0.5,0.5,2.2,3.5,WNBA,  CHI,C,26,70040,0.00117,147
Nia Coffey,15,1,230,1.1,2.5,0.421,0.5,1.4,0.333,0.6,1.1,0.529,0.1,0.4,0.167,0.3,2.2,2.5,0.8,0.3,0.3,0.5,2,2.7,WNBA,  LA,F,25,70040,0.00117,148
Seimone Augustus,21,0,332,2.6,5.2,0.491,0.6,1,0.545,2,4.2,0.477,0.2,0.3,0.667,0.1,1.7,1.8,1.2,0.6,0.1,0.4,1,5.9,WNBA,  LA,G,36,70040,0.00117,149
Alexis Prince,2,0,16,1.5,2.5,0.6,1,1.5,0.667,0.5,1,0.5,0,0,,1,0.5,1.5,0,0,0.5,0,0.5,4,WNBA,  CHI,G,27,70040,0.00117,150
Bria Holmes,18,4,291,1.9,5.4,0.357,0.6,1.7,0.333,1.4,3.8,0.368,0.4,0.7,0.667,0.7,1.1,1.8,1.1,0.7,0.3,1,0.9,4.9,WNBA,  LA,G,27,70040,0.00117,151
Theresa Plaisance,13,0,90,0.8,2.2,0.379,0.4,1.3,0.294,0.5,0.9,0.5,0.4,0.5,0.833,0.2,0.8,1,0.1,0.4,0.2,0.2,1.5,2.5,WNBA,  WAS,F,28,70040,0.00117,152
Kaela Davis,2,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,WNBA,  ATL,F,26,70040,0.00117,153
Lindsay Allen,21,21,284,1.3,3.1,0.424,0.3,0.8,0.353,1,2.3,0.449,0.4,0.5,0.8,0.3,0.8,1.1,2.4,0.3,0,0.8,1,3.3,WNBA,  IND,G,26,70040,0.00117,154
Bella Alarie,22,3,309,1.1,3,0.364,0,0.6,0.077,1,2.4,0.434,0.5,0.5,0.833,1,1.9,2.9,0.5,0.6,0.8,0.5,1.6,2.7,WNBA,  DAL,G,22,68339,0.00114,155
Tyasha Harris,21,3,412,2.6,6,0.433,0.9,2.7,0.339,1.7,3.4,0.507,0.7,1,0.636,0,1.2,1.2,2.7,0.9,0.1,0.9,1.7,6.8,WNBA,  DAL,G,22,68339,0.00114,156
Mikiah Herbert Harrigan,21,0,234,1.4,3.9,0.366,0.7,1.6,0.424,0.8,2.3,0.327,0.2,0.3,0.714,0.7,1.6,2.3,0.3,0.4,0.4,0.7,1,3.8,WNBA,  SEA,F,22,68339,0.00114,157
Ruthy Hebard,22,6,320,2.6,3.9,0.682,0,0,,2.6,3.9,0.682,0.4,0.5,0.75,0.8,3.1,3.9,0.3,0.5,0.4,0.7,1.6,5.7,WNBA,  CHI,F,22,68339,0.00114,158
Jazmine Jones,20,2,428,3.5,8.6,0.404,0.8,2.3,0.333,2.7,6.3,0.429,3.2,4,0.788,0.9,3.2,4.1,2.3,1.4,0.5,2.9,3,10.8,WNBA,  NY,G,24,65459,0.00109,159
Jocelyn Willoughby,22,5,383,1.8,5,0.358,0.7,1.7,0.405,1.1,3.3,0.333,1.6,1.9,0.833,0.7,1.7,2.4,0.9,0.7,0.3,1.5,2.3,5.8,WNBA,  NY,F,23,65459,0.00109,160
Megan Walker,18,0,205,1.4,4.3,0.321,0.3,2.4,0.14,1.1,1.9,0.543,0.2,0.3,0.6,0.6,0.9,1.5,0.3,0.2,0,0.4,0.8,3.3,WNBA,  PHX,F,22,65459,0.00109,161