,Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,Salary_Rank
0,John Wall,39,39,32.0,7.3,18.1,0.403,2.0,6.2,0.322,5.3,11.8,0.446,3.8,5.2,0.743,0.4,2.8,3.2,6.7,1.1,0.7,3.5,1.1,20.4,NBA,  HOU,G,30,"$42,782,880  ",42782880.0,0.00578,1
1,James Harden,42,42,37.1,8.0,17.2,0.463,2.8,7.8,0.358,5.2,9.4,0.549,6.5,7.5,0.87,0.8,7.2,8.0,10.9,1.2,0.7,4.1,2.3,25.2,NBA,  BKN,G,31,"$42,782,880  ",42782880.0,0.00578,2
2,Russell Westbrook,51,51,35.6,8.2,18.9,0.436,1.3,4.1,0.31,6.9,14.7,0.471,3.9,6.3,0.62,1.7,9.5,11.1,10.9,1.3,0.4,5.1,2.8,21.6,NBA,  WAS,G,31,"$41,358,814  ",41358814.0,0.00559,3
3,Kevin Durant,24,22,32.7,9.3,17.1,0.543,2.5,5.5,0.462,6.8,11.6,0.581,6.1,7.0,0.87,0.4,6.3,6.7,5.2,0.6,1.3,3.7,2.0,27.3,NBA,  BKN,F,32,"$41,063,925  ",41063925.0,0.00555,4
4,Stephen Curry,51,51,34.1,10.2,21.0,0.486,5.1,12.1,0.425,5.1,8.9,0.57,5.6,6.0,0.922,0.5,5.1,5.5,5.9,1.2,0.1,3.3,1.8,31.1,NBA,  GSW,G,32,"$40,231,758  ",40231758.0,0.00544,5
5,Chris Paul,57,57,31.6,6.1,12.5,0.487,1.4,3.6,0.375,4.7,8.8,0.533,2.4,2.6,0.926,0.4,4.2,4.6,8.8,1.4,0.2,2.1,2.3,15.9,NBA,  PHX,G,35,"$39,932,648  ",39932648.0,0.0054,6
6,LeBron James,41,41,33.9,9.5,18.4,0.513,2.4,6.5,0.368,7.1,12.0,0.592,4.1,5.8,0.703,0.6,7.3,7.9,7.9,1.0,0.6,3.7,1.6,25.4,NBA,  LAL,F,35,"$38,328,212  ",38328212.0,0.00518,7
7,Anthony Davis,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,4.0,5.7,0.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5,NBA,  LAL,F,27,"$37,980,720  ",37980720.0,0.00513,8
8,Tobias Harris,49,49,33.3,7.9,15.2,0.521,1.4,3.5,0.407,6.5,11.7,0.555,3.2,3.6,0.886,1.0,6.2,7.2,3.6,0.9,0.9,1.9,2.0,20.5,NBA,  PHI,F,28,"$36,000,000  ",36000000.0,0.00486,9
9,Khris Middleton,55,55,33.5,7.5,15.7,0.479,2.2,5.2,0.426,5.3,10.5,0.504,3.1,3.4,0.889,0.8,5.3,6.1,5.6,1.1,0.2,2.7,2.4,20.2,NBA,  MIL,F,29,"$35,500,000  ",35500000.0,0.0048,10
10,Ben Simmons,48,48,33.3,5.7,10.4,0.545,0.1,0.2,0.3,5.6,10.2,0.55,3.4,5.5,0.615,1.7,6.0,7.6,7.1,1.6,0.6,3.3,3.1,14.8,NBA,  PHI,G,24,"$35,448,672  ",35448672.0,0.00479,11
11,Jimmy Butler,42,42,33.8,7.1,14.4,0.494,0.5,2.0,0.229,6.6,12.4,0.537,6.7,7.9,0.855,1.9,5.3,7.2,7.3,2.1,0.4,2.1,1.5,21.4,NBA,  MIA,F,31,"$35,197,650  ",35197650.0,0.00476,12
12,Kemba Walker,37,37,31.4,6.1,15.2,0.401,2.8,8.0,0.345,3.4,7.2,0.464,2.8,3.0,0.937,0.3,3.6,3.9,5.1,1.1,0.3,2.1,1.4,17.8,NBA,  BOS,G,30,"$35,197,650  ",35197650.0,0.00476,13
13,Kawhi Leonard,46,46,34.4,9.4,18.2,0.516,2.0,5.0,0.393,7.4,13.2,0.562,5.0,5.7,0.878,1.1,5.5,6.7,5.1,1.7,0.4,2.0,1.7,25.7,NBA,  LAC,F,29,"$34,379,100  ",34379100.0,0.00465,14
14,Paul George,45,45,33.6,8.5,17.6,0.483,3.3,7.6,0.432,5.2,10.0,0.521,3.6,4.0,0.885,0.9,5.5,6.4,5.4,1.2,0.5,3.2,2.4,23.8,NBA,  LAC,G,30,"$34,227,984  ",34227984.0,0.00463,15
15,Pascal Siakam,47,47,35.6,7.5,16.6,0.454,1.2,4.3,0.285,6.3,12.3,0.513,4.7,5.6,0.839,1.7,5.6,7.2,4.7,1.1,0.7,2.1,3.3,20.9,NBA,  TOR,F,26,"$34,226,304  ",34226304.0,0.00463,16
16,Kyrie Irving,43,43,35.2,10.5,20.4,0.513,2.7,6.9,0.391,7.8,13.5,0.575,3.8,4.1,0.916,1.1,3.8,4.8,6.2,1.3,0.6,2.4,2.7,27.4,NBA,  BKN,G,28,"$34,122,650  ",34122650.0,0.00461,17
17,Devin Booker,54,54,33.7,9.2,19.2,0.482,2.0,5.8,0.344,7.3,13.4,0.541,4.9,5.6,0.862,0.4,3.7,4.2,4.6,0.9,0.3,3.2,2.8,25.3,NBA,  PHX,G,23,"$31,650,600  ",31650600.0,0.00428,18
18,Karl-Anthony Towns,38,38,34.2,8.6,17.6,0.49,2.5,6.2,0.4,6.1,11.4,0.539,5.1,5.8,0.874,2.7,8.2,10.9,4.6,0.7,1.4,3.2,3.6,24.8,NBA,  MIN,C,24,"$31,650,600  ",31650600.0,0.00428,19
19,Kristaps Porzingis,39,39,31.4,7.6,16.1,.474,2.2,6.2,.363,5.4,10.0,.542,2.9,3.4,.850,2.0,7.3,9.3,1.6,0.5,1.5,1.3,2.7,20.4,NBA,  DAL,F, 25 ,"$31,650,600  ",31650600.0,0.00428,20
20,Brandon Ingram,53,53,34.7,8.5,18.2,0.468,2.4,6.2,0.382,6.2,12.0,0.513,4.8,5.4,0.885,0.6,4.4,4.9,4.8,0.7,0.7,2.5,2.0,24.2,NBA,  NOP,F,23,"$31,650,600  ",31650600.0,0.00428,21
21,Jamal Murray,48,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,5.2,9.9,0.523,2.8,3.2,0.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2,NBA,  DEN,G,23,"$31,650,600  ",31650600.0,0.00428,22
22,Mike Conley,47,47,29.7,5.6,12.5,0.447,2.7,6.6,0.412,2.9,5.9,0.486,2.3,2.7,0.857,0.7,2.7,3.4,5.9,1.3,0.2,1.9,2.0,16.2,NBA,  UTH,G,32,"$30,521,116  ",30521116.0,0.00412,23
23,Kyle Lowry,41,41,34.6,5.6,12.9,0.435,2.7,7.0,0.389,2.9,5.9,0.488,3.1,3.6,0.877,0.8,4.7,5.5,7.2,1.0,0.2,2.9,3.1,17.0,NBA,  TOR,G,34,"$30,500,000  ",30500000.0,0.00412,24
24,Kevin Love,15,15,22.5,4.0,9.9,0.403,2.1,6.3,0.326,1.9,3.6,0.537,1.7,2.2,0.758,0.7,5.9,6.6,2.3,0.5,0.1,1.3,0.9,11.7,NBA,  CLE,F,32,"$30,100,543  ",30100543.0,0.00407,25
25,Gordon Hayward,44,44,34.0,7.1,15.0,0.473,1.9,4.7,0.415,5.1,10.3,0.499,3.5,4.2,0.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,NBA,  CHA,F,30,"$30,000,000  ",30000000.0,0.00405,26
26,Joel Embiid,40,40,32.2,9.5,18.4,0.515,1.2,3.1,0.387,8.3,15.3,0.541,10.0,11.8,0.851,2.4,9.0,11.3,3.2,1.0,1.4,3.2,2.4,30.1,NBA,  PHI,C,26,"$29,542,010  ",29542010.0,0.00399,27
27,Andrew Wiggins,59,59,32.9,6.8,14.5,0.472,2.0,5.2,0.379,4.9,9.3,0.524,2.4,3.5,0.701,1.0,3.8,4.8,2.3,1.0,0.9,1.8,2.2,18.1,NBA,  GSW,F,25,"$29,542,010  ",29542010.0,0.00399,28
28,Nikola Jokic,59,59,35.4,10.3,18.2,.566,1.4,3.4,.405,8.9,14.8,.603,4.3,5.0,.857,3.0,8.0,10.9,8.7,1.4,0.6,3.1,2.6,26.3,NBA,  DEN,C, 25 ,"$29,542,010  ",29542010.0,0.00399,29
29,D'Angelo Russell,30,19,27.6,6.8,15.4,0.441,2.9,7.0,0.412,3.9,8.4,0.464,2.7,3.3,0.8,0.4,2.1,2.5,5.1,1.0,0.4,2.8,1.8,19.2,NBA,  MIN,G,24,"$29,331,375  ",29331375.0,0.00396,30
30,Damian Lillard,53,53,35.9,8.8,20.2,0.439,4.0,10.8,0.375,4.8,9.4,0.511,6.8,7.4,0.926,0.5,3.7,4.2,7.6,0.9,0.3,3.2,1.6,28.6,NBA,  POR,G,30,"$27,977,689  ",27977689.0,0.00378,31
31,DeMar DeRozan,49,49,33.9,7.3,14.8,0.492,0.4,1.4,0.269,6.9,13.4,0.515,6.1,6.9,0.879,0.7,3.7,4.4,7.1,0.9,0.3,1.9,2.0,21.0,NBA,  SAS,G,31,"$27,800,000  ",27800000.0,0.00376,32
32,Al Horford,28,28,27.9,5.8,12.9,0.45,2.0,5.4,0.368,3.8,7.4,0.51,0.6,0.8,0.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,NBA,  OKC,F,34,"$27,250,000  ",27250000.0,0.00368,33
33,Jaylen Brown,53,53,34.2,9.3,18.8,0.496,2.7,6.8,0.404,6.6,12.0,0.548,3.2,4.2,0.754,1.2,4.6,5.8,3.4,1.2,0.5,2.7,2.9,24.5,NBA,  BOS,G,23,"$26,583,334  ",26583334.0,0.00359,34
34,Rudy Gobert,58,58,31.0,5.5,8.2,0.673,0.0,0.1,0.0,5.5,8.2,0.677,3.4,5.6,0.615,3.4,10.2,13.6,1.3,0.5,2.8,1.6,2.4,14.5,NBA,  UTH,C,28,"$25,500,000  ",25500000.0,0.00345,35
35,Bradley Beal,49,49,35.4,10.9,22.6,0.482,2.2,6.4,0.343,8.7,16.2,0.538,7.0,7.8,0.898,1.1,3.7,4.8,4.7,1.2,0.3,3.2,2.4,31.0,NBA,  WAS,G,27,"$25,434,263  ",25434263.0,0.00344,36
36,Jrue Holiday,45,42,31.9,6.9,13.6,0.506,1.9,4.7,0.404,5.0,8.8,0.56,1.7,2.0,0.837,1.3,3.2,4.5,5.5,1.8,0.5,2.1,1.7,17.4,NBA,  MIL,G,30,"$25,200,000  ",25200000.0,0.00341,37
37,Nikola Vucevic,60,60,33.4,9.7,19.9,.487,2.6,6.2,.414,7.1,13.7,.520,2.0,2.4,.837,2.0,9.3,11.3,3.7,1.0,0.7,1.8,1.9,23.9,NBA,  CHI,C, 29 ,"$25,000,000  ",25000000.0,0.00338,38
38,Giannis Antetokounmpo,48,48,33.7,10.4,18.4,0.564,1.1,3.6,0.297,9.3,14.7,0.63,6.8,9.8,0.688,1.7,9.4,11.2,6.0,1.1,1.3,3.7,2.8,28.5,NBA,  MIL,F,25,"$25,000,000  ",25000000.0,0.00338,39
39,Steven Adams,54,54,28.1,3.4,5.4,0.62,0.0,0.1,0.0,3.4,5.4,0.626,1.1,2.4,0.442,3.8,5.2,9.0,2.0,0.9,0.7,1.4,2.0,7.8,NBA,  NOP,C,27,"$25,000,000  ",25000000.0,0.00338,40
40,Draymond Green,51,51,30.8,2.5,6.1,0.418,0.5,2.1,0.255,2.0,4.0,0.502,1.0,1.3,0.779,0.9,5.6,6.5,8.5,1.7,0.8,2.9,3.2,6.7,NBA,  GSW,F,30,"$24,916,591  ",24916591.0,0.00337,41
41,Buddy Hield,58,58,34.3,5.7,14.1,0.404,4.0,10.4,0.385,1.7,3.7,0.458,1.2,1.5,0.837,0.4,4.1,4.5,3.1,0.8,0.4,1.7,2.5,16.6,NBA,  SAC,G,27,"$23,500,000  ",23500000.0,0.00318,42
42,Harrison Barnes,56,56,36.4,5.4,11.0,0.494,1.6,4.3,0.379,3.8,6.7,0.568,3.4,4.1,0.827,1.1,5.5,6.6,3.5,0.8,0.2,1.6,1.3,15.9,NBA,  SAC,F,28,"$21,250,000  ",21250000.0,0.00287,43
43,Victor Oladipo,33,33,32.7,7.1,17.5,0.408,2.4,7.2,0.326,4.8,10.2,0.466,3.2,4.2,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8,NBA,  MIA,G,28,"$21,250,000  ",21250000.0,0.00287,44
44,Malcolm Brogdon,52,52,35.1,8.1,17.8,0.455,2.7,6.8,0.393,5.4,11.0,0.493,2.7,3.1,0.863,1.1,4.1,5.2,6.0,0.9,0.3,2.1,2.0,21.5,NBA,  IND,G,27,"$21,250,000  ",21250000.0,0.00287,45
45,Fred VanVleet,46,46,36.1,6.4,16.3,0.391,3.3,9.0,0.369,3.1,7.3,0.418,3.4,3.8,0.886,0.6,3.5,4.1,6.1,1.7,0.8,1.9,2.4,19.4,NBA,  TOR,G,26,"$21,250,000  ",21250000.0,0.00287,46
46,Gary Harris,25,24,29.4,3.6,8.5,0.423,1.2,3.6,0.341,2.4,4.9,0.484,1.7,2.2,0.778,0.6,1.6,2.2,1.9,0.8,0.3,0.9,2.0,10.1,NBA,  ORL,G,26,"$21,000,000  ",21000000.0,0.00284,47
47,Julius Randle,59,59,37.5,8.4,18.3,0.46,2.2,5.3,0.41,6.3,13.1,0.481,4.9,6.1,0.807,1.3,9.2,10.5,6.1,1.0,0.3,3.5,3.2,23.9,NBA,  NYK,F,25,"$20,700,000  ",20700000.0,0.0028,48
48,Danilo Gallinari,39,4,24.0,4.0,9.5,0.425,2.1,5.2,0.407,1.9,4.2,0.448,3.2,3.4,0.933,0.3,3.8,4.1,1.4,0.6,0.2,1.0,2.1,13.4,NBA,  ATL,F,32,"$20,475,000  ",20475000.0,0.00277,49
49,Jerami Grant,51,51,34.2,7.5,17.3,0.43,2.2,6.2,0.357,5.3,11.2,0.471,5.4,6.3,0.854,0.7,4.0,4.6,2.9,0.7,1.1,2.0,2.4,22.5,NBA,  DET,F,26,"$20,002,500  ",20002500.0,0.0027,50
50,Myles Turner,47,47,31.0,4.4,9.2,0.477,1.5,4.4,0.335,2.9,4.8,0.606,2.4,3.0,0.782,1.3,5.2,6.5,1.0,0.9,3.4,1.4,3.5,12.6,NBA,  IND,C,24,"$20,000,000  ",20000000.0,0.0027,51
51,Aaron Gordon,38,38,28.6,4.8,10.5,0.46,1.4,3.9,0.354,3.5,6.7,0.522,2.2,3.4,0.651,1.5,4.6,6.1,3.7,0.7,0.7,2.2,1.8,13.3,NBA,  DEN,F,25,"$20,000,000  ",20000000.0,0.0027,52
52,Zach LaVine,53,53,35.2,9.8,19.4,0.506,3.4,8.2,0.416,6.4,11.2,0.572,4.4,5.2,0.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5,NBA,  CHI,G,25,"$19,500,000  ",19500000.0,0.00264,53
53,Terry Rozier,54,54,34.1,7.5,16.0,0.468,3.4,8.3,0.405,4.1,7.7,0.535,2.4,2.9,0.819,0.6,3.7,4.3,3.9,1.3,0.4,1.9,1.7,20.7,NBA,  CHA,G,26,"$18,900,000  ",18900000.0,0.00255,54
54,Eric Gordon,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,NBA,  HOU,G,31,"$18,893,589  ",18893589.0,0.00255,55
55,Joe Harris,59,55,30.8,5.3,10.3,0.515,3.2,6.5,0.482,2.1,3.7,0.573,0.7,0.9,0.759,0.6,2.9,3.6,1.8,0.7,0.2,0.8,2.0,14.4,NBA,  BKN,G,29,"$18,750,000  ",18750000.0,0.00253,56
56,Domantas Sabonis,53,53,35.7,7.5,14.4,0.52,0.8,2.6,0.302,6.7,11.8,0.568,4.1,5.6,0.731,2.5,9.1,11.6,6.0,1.1,0.5,3.4,3.4,19.9,NBA,  IND,F,24,"$18,725,000  ",18725000.0,0.00253,57
57,Bojan Bogdanovic,59,59,30.5,5.1,12.0,.421,2.4,6.3,.382,2.7,5.8,.463,2.9,3.4,.874,0.5,3.3,3.9,1.9,0.6,0.1,1.5,1.6,15.5,NBA,  UTH,F, 31 ,"$18,275,000  ",18275000.0,0.00247,58
58,Goran Dragic,40,10,26.3,4.6,10.6,.435,1.7,4.7,.355,3.0,6.0,.498,2.1,2.6,.814,0.5,3.0,3.5,4.4,0.7,0.2,2.5,2.2,13.0,NBA,  MIA,G, 34 ,"$18,000,000  ",18000000.0,0.00243,59
59,Bogdan Bogdanovic,35,18,28.6,5.5,12.0,.455,2.9,7.0,.418,2.5,5.0,.506,0.9,1.0,.912,0.5,3.2,3.7,3.2,0.9,0.3,1.2,2.2,14.7,NBA,  ATL,G, 28 ,"$18,000,000  ",18000000.0,0.00243,60
60,Clint Capela,52,52,30.5,6.8,11.3,0.604,0.0,0.0,,6.8,11.3,0.604,2.1,3.7,0.579,4.9,9.8,14.7,0.8,0.7,2.2,1.2,2.3,15.7,NBA,  ATL,C,26,"$18,000,000  ",18000000.0,0.00243,61
61,Tim Hardaway Jr.,56,20,28.3,5.6,12.7,0.44,2.8,7.4,0.385,2.8,5.3,0.517,1.8,2.2,0.8,0.3,3.0,3.3,1.7,0.4,0.1,0.9,1.5,15.8,NBA,  DAL,G,28,"$17,737,500  ",17737500.0,0.0024,62
62,Eric Bledsoe,57,56,30.1,4.1,10.1,0.407,1.8,5.1,0.346,2.4,5.0,0.469,1.8,2.4,0.734,0.4,3.0,3.4,3.7,0.7,0.3,1.6,1.6,11.8,NBA,  NOP,G,30,"$17,500,000  ",17500000.0,0.00236,63
63,Dennis Schröder,54,54,31.8,5.4,12.3,0.434,1.1,3.3,0.343,4.2,9.0,0.467,3.6,4.2,0.843,0.5,3.0,3.5,5.5,1.2,0.2,2.7,2.6,15.4,NBA,  LAL,G,27,"$17,500,000  ",17500000.0,0.00236,64
64,Caris LeVert,34,26,30.9,7.1,16.5,0.431,1.7,5.6,0.305,5.4,10.9,0.495,2.6,3.2,0.8,0.8,3.7,4.5,4.8,1.5,0.5,2.0,2.1,18.5,NBA,  IND,G,26,"$17,500,000  ",17500000.0,0.00236,65
65,Evan Fournier,30,26,30.1,6.2,13.6,0.457,2.8,7.0,0.398,3.4,6.5,0.52,3.4,4.2,0.795,0.2,2.6,2.7,3.4,1.1,0.4,1.9,2.2,18.6,NBA,  BOS,G,27,"$17,000,000  ",17000000.0,0.0023,66
66,Ricky Rubio,56,41,26.3,2.8,7.2,0.38,0.9,2.9,0.305,1.9,4.3,0.432,2.0,2.4,0.856,0.4,2.8,3.2,6.7,1.4,0.1,1.8,2.1,8.4,NBA,  MIN,G,29,"$17,000,000  ",17000000.0,0.0023,67
67,Davis Bertans,44,5,24.6,3.4,8.3,.413,3.0,7.5,.407,0.4,0.8,.459,1.8,2.0,.885,0.3,2.7,3.0,0.9,0.6,0.2,0.6,2.5,11.7,NBA,  WAS,F, 27 ,"$16,000,000  ",16000000.0,0.00216,68
68,Rudy Gay,50,0,21.6,4.0,9.8,0.414,1.6,4.2,0.373,2.5,5.5,0.446,1.3,1.6,0.8,0.7,4.2,4.9,1.5,0.7,0.6,1.0,1.9,10.9,NBA,  SAS,F,34,"$16,000,000  ",16000000.0,0.00216,69
69,Dejounte Murray,55,55,31.6,6.5,14.3,0.451,1.0,3.1,0.333,5.4,11.2,0.484,1.6,2.0,0.791,0.7,6.2,6.9,5.3,1.5,0.1,1.7,2.0,15.5,NBA,  SAS,G,24,"$15,955,000  ",15955000.0,0.00216,70
70,Kelly Oubre Jr.,52,50,30.8,5.8,13.1,0.439,1.6,5.1,0.318,4.1,8.0,0.516,2.2,3.1,0.71,1.5,4.6,6.0,1.3,1.0,0.8,1.3,2.3,15.3,NBA,  GSW,F,24,"$15,000,000  ",15000000.0,0.00203,71
71,Jonas Valanciunas,50,49,28.0,7.0,12.1,.580,0.3,1.0,.333,6.7,11.2,.601,2.6,3.4,.774,4.2,8.4,12.6,1.8,0.5,0.7,1.7,2.9,17.0,NBA,  MEM,C, 28 ,"$15,000,000  ",15000000.0,0.00203,72
72,Malik Beasley,37,36,32.8,7.1,16.2,0.44,3.5,8.7,0.399,3.7,7.5,0.487,1.8,2.2,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,NBA,  MIN,G,23,"$15,000,000  ",15000000.0,0.00203,73
73,Danny Green,57,57,28.6,3.4,8.0,0.423,2.6,6.3,0.418,0.8,1.7,0.443,0.4,0.6,0.758,0.8,2.9,3.8,1.7,1.3,0.9,1.0,1.9,9.8,NBA,  PHI,G,33,"$15,000,000  ",15000000.0,0.00203,74
74,Andre Iguodala,52,4,21.5,1.6,4.2,0.385,1.0,3.2,0.329,0.6,1.0,0.556,0.4,0.7,0.647,0.6,3.1,3.7,2.2,1.0,0.5,1.0,1.4,4.7,NBA,  MIA,F,36,"$15,000,000  ",15000000.0,0.00203,75
75,Thaddeus Young,54,17,24.1,5.5,9.6,0.574,0.2,0.6,0.265,5.4,9.0,0.596,1.0,1.6,0.631,2.4,3.8,6.2,4.2,1.1,0.6,2.0,2.4,12.2,NBA,  CHI,F,32,"$14,545,000  ",14545000.0,0.00197,76
76,James Johnson,40,6,20.1,2.7,6.1,0.442,0.6,2.4,0.26,2.1,3.7,0.562,0.9,1.3,0.642,0.6,2.7,3.3,2.0,0.9,0.9,1.1,2.3,6.8,NBA,  NOP,F,33,"$14,431,700  ",14431700.0,0.00195,77
77,Cody Zeller,37,20,21.2,3.6,6.7,0.54,0.1,0.7,0.12,3.5,6.0,0.587,1.6,2.2,0.735,2.6,4.4,7.0,1.9,0.6,0.4,1.0,2.4,9.0,NBA,  CHA,C,27,"$14,000,000  ",14000000.0,0.00189,78
78,Christian Wood,36,36,31.9,8.1,15.3,0.529,1.8,4.8,0.38,6.3,10.6,0.596,2.9,4.6,0.628,1.7,7.6,9.3,1.5,0.9,1.3,1.8,2.1,20.9,NBA,  HOU,F,25,"$13,666,667  ",13666667.0,0.00185,79
79,Terrence Ross,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469,2.6,3.0,0.87,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,NBA,  ORL,G,29,"$13,500,000  ",13500000.0,0.00182,80
80,Patrick Beverley,31,31,23.4,2.6,6.1,0.432,1.7,4.0,0.416,1.0,2.1,0.462,1.1,1.3,0.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0,NBA,  LAC,G,32,"$13,333,327  ",13333327.0,0.0018,81
81,Will Barton,55,51,31.5,4.7,11.1,0.426,1.8,4.7,0.381,2.9,6.4,0.459,1.7,2.2,0.785,0.7,3.4,4.1,3.3,0.9,0.4,1.7,1.7,12.9,NBA,  DEN,F,29,"$13,250,000  ",13250000.0,0.00179,82
82,J.J. Redick,36,0,17.8,2.7,6.6,0.405,1.6,4.4,0.376,1.0,2.2,0.463,1.3,1.4,0.94,0.1,1.6,1.7,1.2,0.3,0.1,0.8,1.1,8.3,NBA,  DAL,G,36,"$13,250,000  ",13250000.0,0.00179,83
83,Kentavious Caldwell-Pope,54,54,27.3,3.2,7.4,0.429,1.7,4.1,0.42,1.4,3.2,0.44,1.2,1.5,0.848,0.4,2.3,2.7,1.6,0.8,0.3,1.0,1.6,9.3,NBA,  LAL,G,27,"$13,038,862  ",13038862.0,0.00176,84
84,Justise Winslow,18,0,20.6,3.0,8.6,0.348,0.3,2.3,0.122,2.7,6.3,0.43,0.6,1.0,0.556,0.7,3.7,4.4,1.8,0.7,0.4,1.7,1.9,6.8,NBA,  MEM,F,24,"$13,000,000  ",13000000.0,0.00176,85
